call_id,speaker,text,timestamp
1,Rep,"Good morning doctor, I wanted to discuss our new diabetes medication.",2024-01-01 10:00:00
1,Doctor,"Good morning. I am currently prescribing a competitor brand.",2024-01-01 10:00:10
1,Rep,"Our product has shown better glycemic control in recent trials.",2024-01-01 10:00:30
1,Doctor,"My concern is mainly the pricing and patient affordability.",2024-01-01 10:00:50
1,Rep,"We have patient assistance programs to reduce cost.",2024-01-01 10:01:10
1,Doctor,"I would like to see more long-term safety data.",2024-01-01 10:01:30
2,Rep,"Hello doctor, following up on our hypertension drug.",2024-01-02 11:00:00
2,HCP,"The efficacy looks good but I am worried about side effects.",2024-01-02 11:00:20
2,Rep,"Side effects are comparable to standard treatments.",2024-01-02 11:00:40
2,HCP,"I will consider it for select patients.",2024-01-02 11:01:00
3,Rep,"Good morning doctor, I wanted to discuss our new chronic respiratory medication.",2024-01-03 10:00:00
3,Doctor,"Good morning. I already prescribe a competitor brand for most patients.",2024-01-03 10:00:15
3,Rep,"Our medication has shown improved lung function and better patient adherence.",2024-01-03 10:00:35
3,Doctor,"Adherence is important, but my concern is long-term safety.",2024-01-03 10:00:55
3,Rep,"Long-term studies indicate a strong safety profile with minimal adverse effects.",2024-01-03 10:01:15
3,Doctor,"How does the pricing compare with current options?",2024-01-03 10:01:35
3,Rep,"It is priced competitively, and we offer patient assistance programs.",2024-01-03 10:01:55
3,Doctor,"I would consider it for patients who struggle with adherence.",2024-01-03 10:02:15
4,Rep,"Hello doctor, I wanted to follow up regarding our new metabolic disorder treatment.",2024-01-04 11:00:00
4,Doctor,"Hello. I am interested, but efficacy compared to existing therapies matters.",2024-01-04 11:00:20
4,Rep,"Clinical trials show superior metabolic control compared to standard treatments.",2024-01-04 11:00:40
4,Doctor,"What about patient affordability and insurance coverage?",2024-01-04 11:01:00
4,Rep,"The medication is covered by most insurance plans with co-pay support.",2024-01-04 11:01:20
4,Doctor,"Are there any notable side effects I should be aware of?",2024-01-04 11:01:40
4,Rep,"Side effects are mild and comparable to existing options.",2024-01-04 11:02:00
4,Doctor,"Alright, I can evaluate it for suitable patients.",2024-01-04 11:02:20
